Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
THC,0.94,1.07,0.94,0.77,0.96,0.95,0.97,0.97,145.73,34.45,0.3976,0.1746,0.12,True,True,True,True,False,False
VIRT,0.99,0.71,0.99,0.65,0.93,0.87,0.96,0.96,145.85,33.84,0.3374,0.0397,0.1,True,False,True,False,True,False
STRT,0.9,0.55,0.9,0.47,0.89,0.8,0.94,0.94,146.21,29.6,0.2469,0.0503,0.08,True,False,True,False,False,False
BNTC,0.85,1.91,0.85,1.29,0.98,0.96,0.98,0.99,146.68,36.11,0.4092,-0.3945,0.11,True,False,True,False,False,False
CYAN,0.81,0.02,0.93,0.63,0.48,0.29,0.96,0.92,146.98,21.83,0.0185,-0.0943,0.01,False,False,False,False,True,False
WULF,0.65,1.19,0.65,1.11,0.96,0.93,0.98,0.97,147.43,41.34,0.5654,0.0217,0.14,False,False,True,False,False,False
IAG,0.92,1.13,0.92,0.72,0.96,0.9,0.96,0.97,147.44,33.86,0.3562,0.0226,0.11,True,False,True,False,False,False
INOD,0.67,0.32,0.67,0.67,0.8,0.83,0.96,0.95,147.65,27.53,0.2764,0.1657,0.1,False,True,True,True,False,False
CLMB,0.92,1.08,0.92,0.51,0.96,0.86,0.94,0.95,147.99,32.62,0.3266,0.1612,0.1,True,True,True,True,False,False
AIRG,0.95,0.59,0.95,0.42,0.91,0.81,0.93,0.96,148.26,35.5,0.4844,-0.06,0.14,True,False,True,False,False,False
ANAB,0.87,0.76,0.87,0.54,0.93,0.89,0.95,0.95,148.62,32.62,0.4169,0.0787,0.13,True,False,True,False,False,False
HWKN,0.91,0.86,0.91,0.7,0.94,0.96,0.96,0.97,148.83,31.02,0.3117,0.1867,0.1,True,True,True,True,False,False
GGAL,0.98,1.5,0.98,1.13,0.97,0.95,0.98,0.97,148.89,42.42,0.5082,0.2539,0.12,True,True,True,True,True,False
ITI,1.0,0.54,1.0,0.44,0.89,0.7,0.93,0.92,149.03,32.23,0.2952,0.0622,0.09,True,False,True,False,True,False
ALLT,0.81,0.22,0.81,0.28,0.73,0.59,0.88,0.94,149.33,26.07,0.3512,-0.0902,0.13,False,False,True,False,False,False
AGBA,0.52,1.47,0.52,2.03,0.97,0.96,0.99,0.99,150.05,39.77,0.5652,-0.1228,0.14,False,False,True,False,False,False
VISL,0.76,0.29,0.76,0.56,0.78,0.62,0.95,0.96,150.11,28.72,0.3031,-0.1124,0.11,True,False,True,False,False,False
USAP,0.88,1.89,0.88,1.19,0.98,0.97,0.98,0.98,150.45,34.5,0.3859,0.2346,0.11,True,True,True,True,False,False
GHSI,0.56,0.27,0.56,0.26,0.77,0.83,0.87,0.86,150.78,17.95,0.2519,-0.1602,0.14,False,False,True,False,False,False
