Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
KICL.NS,0.88,1.45,0.88,0.55,0.86,0.88,0.76,0.85,135.27,30.26,0.3521,0.1879,0.12,True,True,True,True,False,False
ESTER.NS,0.94,0.62,0.94,0.49,0.6,0.29,0.73,0.73,135.29,28.83,0.2844,0.0648,0.1,False,False,True,False,False,False
GODREJAGRO.NS,0.89,0.59,0.89,0.51,0.58,0.57,0.74,0.78,135.44,25.03,0.2469,0.0624,0.1,False,True,True,True,False,False
ALANKIT.NS,0.87,1.39,0.87,0.6,0.85,0.8,0.79,0.81,135.51,28.24,0.3089,0.0504,0.11,True,False,True,False,False,False
BHAGERIA.NS,0.98,0.55,0.98,0.37,0.56,0.29,0.67,0.53,135.68,31.93,0.2837,0.0573,0.09,False,False,True,False,True,False
THYROCARE.NS,0.94,0.62,0.94,0.33,0.6,0.43,0.64,0.72,135.68,25.25,0.2383,0.0089,0.09,False,False,True,False,False,False
MUNJALAU.NS,1.0,1.26,1.0,0.81,0.82,0.63,0.85,0.6,135.82,36.79,0.3892,0.1399,0.11,True,True,True,True,True,False
SKIPPER.NS,0.89,0.93,0.89,0.32,0.74,0.81,0.63,0.73,135.83,27.4,0.2839,0.2714,0.1,False,True,True,True,False,False
ANUP.NS,0.94,1.05,0.94,0.76,0.77,0.73,0.83,0.77,136.3,32.14,0.273,0.2747,0.08,True,True,True,True,True,False
CESC.NS,0.91,1.31,0.91,0.75,0.83,0.8,0.83,0.82,136.38,30.07,0.3481,0.2014,0.12,True,True,True,True,False,False
3PLAND.NS,0.82,1.18,0.82,0.58,0.81,0.67,0.78,0.72,136.38,29.93,0.2513,0.1982,0.08,True,True,True,True,True,False
JETFREIGHT.NS,0.77,0.86,0.77,0.4,0.71,0.4,0.69,0.57,136.53,28.24,0.2274,0.0884,0.08,False,False,True,False,True,False
GMBREW.NS,0.89,0.76,0.89,0.72,0.67,0.58,0.82,0.82,136.55,26.22,0.2381,0.1014,0.09,False,True,True,True,False,False
DYNPRO.NS,0.92,-0.01,0.92,0.25,0.15,0.23,0.57,0.64,137.05,22.6,0.2213,0.0489,0.1,False,False,True,False,True,False
STERTOOLS.NS,0.85,0.35,0.85,0.33,0.43,0.27,0.64,0.68,137.37,24.94,0.2264,0.1121,0.09,False,True,True,True,True,False
HOVS.NS,0.8,0.81,0.8,0.45,0.69,0.47,0.71,0.65,137.39,24.92,0.2206,0.0845,0.09,False,False,False,True,False,False
CAPLIPOINT.NS,0.94,0.95,0.94,0.48,0.75,0.66,0.73,0.64,137.51,32.79,0.264,0.1744,0.08,True,True,True,True,True,False
MPSLTD.NS,0.99,0.58,0.99,0.52,0.57,0.61,0.75,0.77,137.6,26.32,0.2115,0.2155,0.08,False,True,True,True,True,False
MINDTECK.NS,0.82,1.85,0.82,1.11,0.9,0.84,0.9,0.9,137.78,29.14,0.3087,0.2239,0.11,True,True,True,True,False,False
CYBERTECH.NS,0.85,0.95,0.85,0.65,0.75,0.43,0.8,0.6,137.8,32.73,0.3017,0.1361,0.09,False,False,False,True,True,False
DHUNINV.NS,1.0,1.74,1.0,1.04,0.89,0.71,0.89,0.7,137.81,37.85,0.3785,0.2355,0.1,True,True,True,True,True,False
OAL.NS,0.96,0.34,0.96,0.46,0.43,0.31,0.72,0.68,137.96,28.0,0.2405,0.0347,0.09,False,False,True,False,True,False
WELINV.NS,0.97,1.43,0.97,0.77,0.85,0.79,0.84,0.76,138.02,32.18,0.2655,0.1898,0.08,True,True,True,True,True,False
SUVEN.NS,0.97,1.36,0.97,0.74,0.84,0.72,0.83,0.77,138.16,33.99,0.3167,0.1334,0.09,True,True,True,True,True,False
ORIENTALTL.NS,0.91,1.03,0.91,0.5,0.77,0.66,0.74,0.52,138.34,37.72,0.4092,0.0474,0.11,False,False,True,False,True,False
QUESS.NS,0.96,0.9,0.96,0.69,0.72,0.54,0.82,0.78,138.42,31.72,0.2715,0.0764,0.09,False,False,True,False,True,False
NAVKARCORP.NS,0.89,1.43,0.89,0.58,0.85,0.77,0.78,0.75,138.47,30.76,0.3913,0.1915,0.13,True,True,True,True,False,False
