Exchange,Ticker,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year
xnas,aimd,1.76,-2.36,22.06,38.76,44.54,-21.7,-70.72,-48.81,-27.66,-28.83
xnas,aiot,1.95,3.3,-6.37,-21.67,-29.43,-0.63,24.25,-2.56,-3.7,2.97
xnas,aip,3.66,2.06,18.89,0.63,-22.18,-1.49,-4.13,,,
xnas,aire,-0.13,4.46,-23.34,-64.96,-83.63,-54.95,,,,
xnas,airg,-0.74,0.5,0.5,-21.33,-43.06,-22.24,-27.59,-15.44,,
xnas,airj,4.69,10.42,-5.78,-45.22,-46.77,-58.55,,,,
xnas,airs,10.46,14.97,120.92,29.01,-2.31,17.63,-14.83,,,
xnas,airt,8.27,8.27,21.12,8.39,-2.26,-22.37,1.75,5.44,3.94,5.72
xnas,aisp,4.66,-4.08,28.15,50.15,-21.09,40.74,,,,
xnas,akam,1.17,1.45,-7.05,-6.98,-19.47,-14.43,-8.53,-4.89,0.24,4.14
xnas,akba,7.59,31.02,71.12,106.77,108.95,271.03,118.28,-19.79,-7.31,
xnas,akro,0.63,9.33,29.18,24.3,95.11,154.48,87.92,17.68,,
xnas,akya,1.75,-7.2,2.65,-25.64,-49.34,-44.5,-52.24,,,
xnas,alab,0.04,0.03,27.17,42.94,-31.48,44.02,,,,
xnas,albt,-0.15,-7.34,-6.06,-68.72,4.6,-57.03,-65.25,-57.61,,
xnas,alco,0.0,-3.1,7.28,11.63,20.71,23.09,-8.58,2.34,-2.98,2.99
xnas,aldx,8.57,23.72,26.67,-57.71,-46.69,-32.83,-6.07,-11.25,-10.11,
xnas,alec,5.67,12.03,41.9,-5.7,-21.16,-65.9,-44.7,-45.14,,
xnas,algm,3.08,13.65,51.95,1.77,31.79,-2.17,5.56,,,
xnas,algn,0.2,-0.18,4.36,5.01,-13.38,-29.85,-12.43,-8.92,11.12,18.71
xnas,algs,19.01,36.11,57.21,-46.59,-81.93,-50.17,-41.38,,,
xnas,algt,6.08,4.8,17.89,-7.2,-38.11,9.6,-25.56,-13.34,-7.71,3.32
xnas,alhc,2.91,-0.98,-3.18,-0.2,35.29,81.41,12.36,,,
xnas,alkt,0.07,6.35,10.88,8.9,-16.96,13.28,29.8,,,
xnas,allo,10.08,21.37,10.94,-29.7,-33.33,-41.08,-43.96,-49.36,,
xnas,allr,5.84,-2.35,-20.93,-18.64,-27.68,-94.92,-97.65,,,
xnas,alms,7.16,2.57,-17.47,-29.61,-54.33,,,,,
xnas,almu,1.94,32.96,63.87,198.11,147.84,483.38,,,,
xnas,alnt,1.37,4.93,46.13,26.27,31.63,25.62,9.35,3.72,5.69,16.86
xnas,alny,-2.33,-1.22,11.5,21.24,27.84,101.49,31.72,18.71,8.64,21.6
xnas,alot,-1.12,0.11,7.04,-9.12,-22.81,-47.18,-12.63,6.27,-3.02,3.5
xnas,alrm,0.92,1.55,10.65,-0.92,-4.13,-7.37,-3.44,-0.18,,
xnas,alrs,1.38,1.62,1.33,11.2,12.01,16.52,-1.73,3.18,3.58,8.89
xnas,alt,2.93,3.5,11.73,0.54,-22.05,-16.49,2.3,-5.76,4.99,3.98
xnas,alti,-0.27,9.64,15.92,5.51,-17.46,-20.87,,,,
xnas,alto,8.38,9.91,20.27,-35.03,-34.62,-30.14,-40.08,4.72,-21.17,-25.29
xnas,alts,4.88,9.67,78.81,93.37,119.57,249.66,59.84,26.28,0.51,-3.01
xnas,alxo,10.29,19.26,14.95,-55.8,-65.33,-93.76,-56.74,,,
xnas,alzn,-2.69,-5.48,-36.71,-44.14,-65.33,-93.07,-85.68,,,
xnas,amal,2.24,1.19,3.84,2.85,-7.8,24.1,14.44,19.75,,
xnas,amat,1.55,6.37,9.26,10.33,3.06,-24.06,14.11,23.47,24.18,19.31
xnas,amcx,-1.82,-1.97,1.57,-9.24,-34.55,-62.97,-43.67,-27.92,-22.22,
